Numéro;SortieEnSalleLe;VuLe;Titre;Affiche;TitreOriginal;Pays;Réalisateur;Acteurs ;Avis;Comment;Prix;Ou;JeLai;Accompagnants;StyleGenre;Commentaire;Top de l'année
F1175;15/12/2010;16/12/2011;Faites le mur !;Faites le mur !;Exit Through the Gift Shop;USA;Bansky;Banksy, Shepard Fairey, Thierry Guetta, Rhys Ifans, Space Invader;pas mal;canal + à la dmde;0;Télé au 4;;alone;doc;pour tout savoir sur le street art engagé;0
F1176;21/12/2011;24/12/2011;A dangerous method;A dangerous method.jpg;The Talking Cure;Canada;David Cronenberg;Viggo Mortensen, Keira Knightley, Michael Fassbender, Vincent Cassel, Sarah Gadon;pas mal;LePass_29fev2012;0;Gaumont Opera Premier;;alone;drmae historiq;freud Jung et Kiera trop maigrichonne;0
F1177;21/12/2011;24/12/2011;La Délicatesse;La Délicatesse.jpg;;France;David Foenkinos;Audrey Tautou, François Damiens, Bruno Todeschini, Mélanie Bernier, Joséphine de Meaux, Pio Marmaï;moyen;LePass_29fev2012;0;Gaumont Opera Premier;;alone;histoire d'amour;sympa mais pas captivant ni emotionnel;0
F1178;03/11/2010;24/12/2011;La Princesse de Montpensier;La Princesse de Montpensier;;France;Bertrand Tavernier;Mélanie Thierry, Lambert Wilson, Grégoire Leprince-Ringuet, Gaspard Ulliel, Raphaël Personnaz;pas mal;canal + à la dmde;0;Télé au 4;;alone;historique;interessant;0
F1179;21/12/2011;24/12/2011;L'irlandais;L'irlandais.jpg;The Guard;Angleterre;John Michael McDonagh;Brendan Gleeson, Don Cheadle, Liam Cunningham, David Wilmot, Rory Keenan, Mark Strong;moyen;LePass_29fev2012;0;Gaumont Opera Premier;;alone;humour anglais;qq répliq anti-américaines bien vues, ensemble moyen;0
F1180;03/08/2011;24/12/2011;Super 8;Super 8;;USA;J.J. Abrams;Joel Courtney, Elle Fanning, Kyle Chandler, Ryan Lee;pas mal;download Pirate Bay;0;Télé au 4;;alone;E.T. bis;effets réussis , ;0
F1181;21/12/2011;25/12/2011;Le Havre;Le Havre.jpg;;France;Aki Kaurismäki;André WILMS, Kati Outinen, Jean-Pierre Darroussin;pas mal;LePass_29fev2012;0;Gaumont Opera Premier;;alone;histoires de gens;simple bons dialogues 2eme degre;
F1182;21/12/2011;27/12/2011;Mission : Impossible - Protocole fantôme;Mission Impossible - Protocole fantôme.jpg;Mission : Impossible - Ghost Protocol,Mission Impossible 4;USA;Brad Bird;Tom Cruise, Jeremy Renner, Paula Patton, Simon Pegg, Ving Rhames, Josh Holloway, Léa Seydoux;pas mal;LePass_29fev2012;0;Gaumont Opera Premier;;alone;action;scenes de vertige a Dubai reussies, tr belle black, ne c pas pris au serieux c bcp mieux;0
F1183;12/01/2011;28/12/2011;Le Dernier des Templiers;Le dernier des Templiers;Season of The Witch;USA;Dominic Sena;Nicolas Cage, Ron Perlman;passable;canal +;0;TéléFaf;;Faf;héroicFantasy;tjrs les mem effets, des sorcières, des sortilèges, des loups affamés, qq batailles…..pénible quoi !!;0
F1184;28/12/2011;28/12/2011;Let My People Go !;Let My People Go !.jpg;;France;Mikael Buch;Nicolas Maury ,  Carmen Maura,   Jean-François Stévenin,  Jarkko Niemi,  Jean-Christophe Bouvet,  Jean-Luc Bideau;pas mal;LePass_29fev2012;10;Publicis;;Faf;comédie ;des fuj homo, tr sympa, et ma Faf a adorée…c le principal;0
F1185;06/10/2004;31/12/2011;Eternal Sunshine Of The Spotless Mind;Eternal Sunshine Of The Spotless Mind.jpg;;USA;Michel Gondry;Jim Carrey, Kate Winslet, Kirsten Dunst, Mark Ruffalo, Tom Wilkinson;à voir;download Pirate Bay;0;Télé au 4;;;;;0
F1186;29/01/1997;31/12/2011;Fantômes contre fantômes;Fantômes contre fantômes;The Frighteners;USA;Peter Jackson ;Michael J. Fox, Trini Alvarado, Peter Dobson,;à voir;à torrenter;0;Télé au 4;;;;;0
F1187;16/09/2009;31/12/2011;Fish Tank;Fish Tank;;Angleterre;Andrea Arnold;Katie Jarvis, Michael Fassbender, Kierston Wareing,;à voir;download Pirate Bay;0;Télé au 4;;;;;0
